          atime         pst_uu         pst_vv         pst_ww         pm1avg           tavg
  7.8507600E+01  1.0232423E-02 -4.8906996E-03 -5.3415362E-03  1.0255184E-02  0.0000000E+00
  7.8507600E+01  9.9736764E-03 -4.8304224E-03 -5.1432809E-03  9.9527241E-03  0.0000000E+00
  7.8507600E+01  9.7160264E-03 -4.7809403E-03 -4.9348266E-03  9.6590530E-03  0.0000000E+00
  7.8507600E+01  9.4365554E-03 -4.7079959E-03 -4.7283253E-03  9.3757406E-03  0.0000000E+00
  7.8507600E+01  9.1135711E-03 -4.5987004E-03 -4.5147786E-03  9.1039669E-03  0.0000000E+00
  7.8507600E+01  8.7548765E-03 -4.4646950E-03 -4.2900783E-03  8.8451368E-03  0.0000000E+00
  7.8507600E+01  8.3833493E-03 -4.3171028E-03 -4.0662117E-03  8.5979090E-03  0.0000000E+00
  7.8507600E+01  8.0165000E-03 -4.1595018E-03 -3.8570003E-03  8.3619948E-03  0.0000000E+00
  7.8507600E+01  7.6575500E-03 -3.9893820E-03 -3.6680413E-03  8.1357417E-03  0.0000000E+00
  7.8507600E+01  7.3092598E-03 -3.8141791E-03 -3.4949534E-03  7.9182520E-03  0.0000000E+00
  7.8507600E+01  6.9844093E-03 -3.6586023E-03 -3.3259014E-03  7.7092871E-03  0.0000000E+00
  7.8507600E+01  6.6931224E-03 -3.5362631E-03 -3.1565418E-03  7.5077284E-03  0.0000000E+00
  7.8507600E+01  6.4400987E-03 -3.4457043E-03 -2.9944359E-03  7.3141664E-03  0.0000000E+00
  7.8507600E+01  6.2152092E-03 -3.3723756E-03 -2.8427657E-03  7.1277550E-03  0.0000000E+00
  7.8507600E+01  6.0028880E-03 -3.2864167E-03 -2.7164309E-03  6.9491738E-03  0.0000000E+00
  7.8507600E+01  5.7961452E-03 -3.1753416E-03 -2.6207958E-03  6.7768584E-03  0.0000000E+00
